Actual_Drop_Off,Predicted_Drop_Off,Actual_Conversion_Efficiency,Predicted_Conversion_Efficiency
1,1,0.14,0.14430508
1,1,0.3,0.29714274
1,1,0.05,0.048522398
0,0,0.04,0.036558054
1,1,0.08,0.084242806
1,1,0.16,0.16134007
0,0,0.02,0.026543256
0,0,0.01,0.01725463
0,0,0.02,0.024026297
1,1,0.12,0.11685781
1,1,0.08,0.076148435
0,0,0.01,0.009897675
1,1,2.92,2.9278853
0,0,0.02,0.019597989
1,1,0.23,0.22686146
1,1,0.1,0.09622207
1,1,0.15,0.15311132
1,1,0.06,0.054504395
1,1,0.12,0.1168104
0,0,0.03,0.032505155
1,1,4.7,4.710985
1,1,0.11,0.10858108
1,1,0.16,0.15791033
0,0,0.01,0.008536574
1,1,0.06,0.060632274
1,1,0.65,0.64720803
0,0,0.01,0.010878742
0,0,0.02,0.021776896
1,1,0.17,0.16606243
1,1,0.06,0.0659115
1,1,0.71,0.71046436
1,1,0.16,0.16031222
0,0,0.04,0.035508253
1,1,0.18,0.1777069
0,0,0.01,0.010969952
0,0,0.01,0.0114365
1,1,0.08,0.07106756
1,1,0.16,0.16024266
0,0,0.03,0.03160282
1,1,0.22,0.21874584
1,1,0.13,0.12162416
1,1,0.11,0.11403982
1,1,0.1,0.10309467
1,1,0.07,0.06725485
1,1,0.23,0.22175168
1,1,0.1,0.09648401
1,1,0.55,0.55156827
1,1,0.06,0.072498076
1,1,0.08,0.07744316
1,1,0.07,0.06751265
0,0,0.03,0.030395806
1,1,0.08,0.06804885
1,1,0.07,0.07116501
1,1,0.11,0.10853422
1,1,0.09,0.08832252
0,0,0,0.002029903
1,1,0.06,0.059739947
0,0,0.04,0.034537148
1,1,0.06,0.05704315
0,0,0.03,0.02571008
1,1,0.17,0.17066556
1,1,0.06,0.060251027
1,1,0.21,0.20805712
0,0,0.04,0.039509907
1,1,0.08,0.07533269
1,1,0.09,0.0911974
1,1,0.48,0.47550094
1,1,0.29,0.28981155
1,1,0.16,0.1629949
1,1,0.08,0.07747431
0,0,0.04,0.04040831
1,1,0.54,0.5384311
1,1,0.05,0.049928486
1,1,0.11,0.10840121
0,0,0.03,0.032787926
1,1,0.28,0.27815354
1,1,0.16,0.16696204
1,1,0.06,0.05372475
1,1,0.09,0.09003262
1,1,0.29,0.28935534
0,0,0.04,0.03966409
1,1,0.15,0.15341972
1,1,0.14,0.1378552
1,1,0.06,0.055209134
0,0,0,0.008494832
1,1,0.17,0.1663031
0,0,0.01,0.008646287
1,1,0.11,0.10750584
0,0,0.02,0.024205912
1,1,0.09,0.08950724
1,1,0.05,0.048975945
1,1,0.11,0.11199702
1,1,0.07,0.07127914
1,1,0.05,0.04867659
1,1,0.12,0.12265363
1,1,0.28,0.2802899
1,1,0.11,0.12343471
0,0,0.02,0.023643285
1,1,2.35,2.3404186
1,1,1.77,1.7741333
1,1,0.33,0.3299417
1,1,0.24,0.2379222
1,1,0.27,0.2679938
1,1,0.15,0.15103626
0,0,0.03,0.031429965
1,1,0.12,0.113866016
0,0,0.01,0.011492725
1,1,0.09,0.08381446
0,0,0.01,0.017249303
0,0,0.01,0.015748072
1,1,0.05,0.053681925
1,1,0.23,0.23150808
1,1,0.2,0.19879591
1,1,0.32,0.32203567
0,0,0.04,0.0472137
1,1,0.17,0.17591362
0,0,0.04,0.039402623
1,1,0.18,0.18872914
1,1,0.12,0.12966591
0,0,0.05,0.04454273
1,1,0.12,0.11872096
0,0,0.01,0.012475483
1,1,0.06,0.067928515
1,1,0.18,0.1889403
0,0,0.04,0.03882246
1,1,0.13,0.12325589
1,1,0.09,0.09147531
1,1,0.08,0.07731058
1,1,0.25,0.25047183
1,1,0.07,0.0678557
0,0,0.01,0.008273792
1,1,0.11,0.10994218
1,1,0.27,0.2713127
1,1,0.11,0.119201615
0,0,0.03,0.029090958
1,1,0.1,0.097883224
1,1,0.65,0.6469113
1,1,0.12,0.11626145
1,1,2.15,2.158423
1,1,0.17,0.16828609
1,1,0.14,0.13714482
1,1,0.11,0.10781574
1,1,1.42,1.4214075
1,1,0.15,0.149597
0,0,0.03,0.027065543
1,1,1,0.99807423
1,1,0.63,0.6307815
1,1,1.31,1.3148787
1,1,2.7,2.7042727
1,1,1.02,1.0196553
1,1,0.74,0.74060315
1,1,0.12,0.116458386
1,1,0.11,0.10606037
1,1,0.35,0.34892303
1,1,0.12,0.12094097
1,1,0.09,0.08437823
1,1,3.1,3.107525
1,1,0.17,0.16416161
1,1,0.06,0.058986343
0,0,0.05,0.04926366
1,1,0.06,0.059856743
1,1,0.07,0.072668225
1,1,0.17,0.16551141
1,1,0.1,0.100357994
1,1,0.13,0.13205232
1,1,0.07,0.061149284
0,0,0.02,0.023022927
0,0,0.05,0.04567207
1,1,0.28,0.28143936
1,1,0.08,0.077098265
1,1,0.6,0.5984578
1,1,0.09,0.09478636
1,1,0.18,0.18266411
1,1,0.07,0.07215105
0,0,0.05,0.04730621
1,1,0.08,0.07638192
1,1,0.12,0.11979556
1,1,0.15,0.14278118
1,1,0.17,0.17662433
1,1,0.18,0.18151133
0,0,0.01,0.010160647
0,0,0.02,0.022242103
1,1,1.53,1.5325925
1,1,0.29,0.28793418
1,1,0.4,0.39894485
1,1,0.13,0.12551323
0,0,0.04,0.039791327
1,1,0.07,0.07549985
1,1,0.1,0.098197
0,0,0.05,0.049350224
1,1,0.09,0.089784294
1,1,0.13,0.13113153
0,0,0,0.007944949
1,1,0.18,0.1811917
1,1,3.9,3.9057505
0,0,0.01,0.015115976
0,0,0.05,0.04984226
0,0,0.04,0.04358545
1,1,0.07,0.074371874
0,0,0.04,0.043665368
1,1,0.54,0.5413033
1,1,0.04,0.03837437
0,0,0.03,0.028754327
1,1,0.16,0.16349484
1,1,0.14,0.13022393
1,1,0.21,0.207462
1,1,0.49,0.49099767
1,1,0.08,0.07615553
1,1,0.27,0.26891553
1,1,0.13,0.13508351
1,1,0.11,0.10268845
0,0,0.04,0.042973172
1,1,0.83,0.83189964
0,0,0.02,0.024710204
1,1,0.48,0.47445953
1,1,0.04,0.041101962
0,0,0.02,0.025335269
1,1,0.17,0.16644357
0,0,0.02,0.024904955
1,1,0.12,0.11437076
1,1,0.05,0.047667354
0,0,0,0.004667494
1,1,0.21,0.20788398
0,0,0.01,0.014694061
1,1,0.17,0.16772534
0,0,0.01,0.019316565
1,1,0.1,0.100153625
1,1,0.1,0.09555265
1,1,0.22,0.22310966
0,1,0.05,0.069065034
0,0,0,0.004653253
1,1,0.08,0.07657702
1,1,0.07,0.069008306
0,0,0.05,0.04687704
0,0,0.01,0.012466647
1,1,0.09,0.08801283
1,1,0.13,0.13055784
0,0,0.04,0.043359607
1,1,0.05,0.04664003
1,1,0.54,0.53816944
1,1,0.07,0.07154541
1,1,0.29,0.28909457
1,1,0.07,0.074738935
1,1,0.11,0.10710204
1,1,1.18,1.184539
0,0,0.03,0.027603481
1,1,0.11,0.10711886
1,1,0.37,0.36580074
1,1,0.08,0.075173505
0,0,0.02,0.025590124
0,0,0.04,0.041386936
0,0,0.02,0.018818371
1,1,0.17,0.17068024
0,0,0.01,0.017266456
1,1,0.14,0.13643578
1,1,0.07,0.063739836
1,1,0.07,0.067751035
0,0,0.03,0.032990936
0,0,0,0.007146493
1,1,0.08,0.07750891
1,1,0.06,0.052169457
0,0,0.03,0.027453758
1,1,0.82,0.8160166
1,1,0.08,0.074716374
1,1,1.34,1.3377906
1,1,0.21,0.20953347
0,0,0.02,0.020549715
0,0,0.03,0.031897906
1,1,0.12,0.12193771
1,1,0.09,0.08777502
0,0,0.01,0.006207302
1,1,0.16,0.16377665
1,1,0.05,0.045146406
1,1,0.07,0.06936549
0,0,0.03,0.027574185
1,1,0.09,0.095210806
1,1,0.19,0.19042948
1,1,0.4,0.39738303
0,0,0.05,0.051481955
1,1,0.08,0.07539849
1,1,0.17,0.16801335
1,1,3.7,3.7153618
0,0,0.02,0.019523669
1,1,0.1,0.096924454
1,1,0.08,0.07911868
1,1,0.24,0.24168235
1,1,0.18,0.17601237
0,0,0.01,0.016561234
1,1,0.11,0.10570736
1,1,4.08,4.0895033
1,1,0.1,0.095514074
1,1,0.15,0.15318054
1,1,0.13,0.12596665
1,1,0.17,0.1675164
1,1,0.39,0.38617575
0,0,0.04,0.0423567
1,1,0.19,0.18754397
0,0,0.01,0.009872526
0,0,0.04,0.038942445
0,0,0,0.00244911
1,1,0.11,0.11136562
1,1,0.3,0.29777443
1,1,0.06,0.07632822
0,0,0.03,0.032572333
1,1,0.38,0.3774165
0,0,0,0.014976315
0,0,0.03,0.028870653
1,1,0.13,0.12315598
1,1,0.12,0.12639272
1,1,2,2.0002792
1,1,0.06,0.058868885
0,0,0.01,0.015341938
0,0,0.02,0.023486257
1,1,0.23,0.2281429
1,1,0.15,0.14651632
1,1,0.15,0.15222694
1,1,0.09,0.093094245
1,1,0.14,0.14420365
1,1,0.14,0.14235978
1,1,0.16,0.16085006
1,1,0.11,0.111492485
1,1,0.11,0.10198383
1,1,0.37,0.36593878
0,0,0,0.013016086
1,1,0.1,0.09041323
0,0,0.01,0.01114177
1,1,0.2,0.20020033
1,1,0.06,0.061509408
0,0,0.01,0.016814614
1,1,0.05,0.049016356
1,1,0.14,0.13821335
1,1,0.19,0.18572459
1,1,0.13,0.13418482
0,0,0.02,0.018268505
0,0,0.02,0.02405959
1,1,0.05,0.04221743
1,1,1.04,1.0403062
1,1,0.14,0.1411712
1,1,0.14,0.1398329
0,0,0.03,0.02556425
0,0,0.05,0.043685548
0,0,0.05,0.046297535
1,1,0.05,0.05046215
1,1,0.1,0.097446844
1,1,0.07,0.07278204
0,0,0.05,0.04860708
1,1,0.1,0.09343146
1,1,0.13,0.13105118
1,1,1.18,1.1803888
0,0,0.02,0.025090605
0,0,0.05,0.0494728
1,1,0.18,0.17688085
0,0,0,0.003928043
1,1,0.26,0.25842035
1,1,0.06,0.064001024
1,1,0.09,0.0859272
0,0,0.02,0.02265682
1,1,0.6,0.6015999
0,0,0.03,0.026297614
0,0,0.05,0.049341112
1,1,0.13,0.120443806
0,0,0.03,0.036886495
0,0,0.04,0.037048824
1,1,0.08,0.07814436
1,1,0.15,0.14955136
1,1,0.04,0.039152592
0,0,0.02,0.034764245
0,0,0.04,0.03676819
1,1,0.75,0.75343436
1,1,0.07,0.06859858
1,1,0.2,0.19560142
1,1,0.3,0.30236995
1,1,0.08,0.07867102
1,1,0.39,0.38668287
1,1,0.12,0.12117241
1,1,0.1,0.093767
1,1,0.12,0.119544074
1,1,0.1,0.100823134
1,1,0.21,0.20995258
1,1,0.14,0.14117202
0,0,0.04,0.039675787
1,1,0.09,0.09257427
1,1,0.29,0.2895397
0,0,0,0.014112659
1,1,0.06,0.05444186
1,1,0.07,0.06463371
0,0,0.04,0.03559103
0,0,0.04,0.03683407
1,1,0.27,0.27158743
1,1,0.45,0.44941044
1,1,0.08,0.07695986
0,0,0.03,0.030310415
1,1,0.25,0.24564265
0,0,0.03,0.03251162
1,1,0.11,0.108321935
1,1,0.19,0.19454552
1,1,2.35,2.3566046
1,1,0.08,0.07850519
0,0,0.03,0.04418449
1,1,0.2,0.19775368
1,1,0.11,0.12350468
1,1,0.09,0.10720123
1,1,0.08,0.07857077
1,1,0.11,0.09857844
1,1,0.14,0.13626613
1,1,0.06,0.06313203
0,0,0.02,0.0200145
1,1,0.23,0.22985734
1,1,0.15,0.14803775
1,1,0.07,0.07192908
1,1,0.09,0.094216526
0,0,0.04,0.04122152
1,1,0.05,0.050753184
1,1,0.1,0.094028875
0,0,0.05,0.052184485
1,1,0.11,0.11289142
0,0,0.03,0.028754942
1,1,0.35,0.34813148
1,1,0.09,0.08243401
1,1,2,2.0040188
1,1,0.2,0.19222988
1,1,0.19,0.19243221
1,1,0.09,0.08565076
1,1,0.08,0.0800156
1,1,0.31,0.30839217
1,1,0.16,0.15690954
0,0,0.03,0.027412001
1,1,0.18,0.18272491
0,0,0.04,0.042268034
0,0,0,0.001548372
1,1,0.1,0.09891331
1,1,0.04,0.045723513
1,1,0.04,0.052085537
1,1,0.09,0.08815743
1,1,1,0.9994124
1,1,0.21,0.20680805
1,1,0.86,0.8628679
0,0,0.02,0.024423629
1,1,0.13,0.12768237
0,0,0.04,0.036836628
1,1,0.11,0.11182311
1,1,0.24,0.24150069
0,0,0.03,0.03286321
1,1,0.14,0.13920934
0,0,0.04,0.040804833
1,1,0.2,0.21310383
1,1,0.31,0.31083202
0,0,0.05,0.04950729
1,1,0.26,0.25878745
1,1,0.05,0.051382795
1,1,0.05,0.044545982
1,1,0.25,0.25505626
1,1,0.76,0.75910896
1,1,0.04,0.04318738
1,1,0.39,0.39429414
1,1,0.25,0.25084576
1,1,0.08,0.07727991
1,1,0.72,0.7216951
1,1,0.47,0.46984392
1,1,0.09,0.08954939
1,1,0.05,0.056124575
1,1,0.06,0.062217593
1,1,0.08,0.0770119
1,1,0.15,0.14585802
1,1,0.07,0.0678208
1,1,0.76,0.7571493
1,1,0.08,0.08635363
1,1,0.1,0.09967494
0,0,0.01,0.012254991
0,0,0.04,0.041251436
1,1,0.11,0.11329803
0,0,0.01,0.015749417
0,0,0.04,0.035170555
0,0,0.02,0.019579433
1,1,0.08,0.07640469
1,1,0.08,0.07162772
0,0,0.01,0.011598438
1,1,0.13,0.12594952
0,0,0.02,0.020357784
0,0,0,0.001941346
1,1,0.18,0.18347193
1,1,0.2,0.19852379
1,1,0.33,0.33073896
1,1,0.11,0.11224271
1,1,0.25,0.24776702
1,1,0.38,0.38163102
1,1,0.16,0.16075581
1,1,1.15,1.1529616
1,1,0.08,0.08014023
1,1,0.17,0.17095272
1,1,0.22,0.22133882
1,1,0.07,0.0665649
1,1,0.18,0.17909823
1,1,0.13,0.13577639
1,1,0.07,0.06833531
1,1,0.92,0.9233035
1,1,0.15,0.14514099
0,0,0,0.000870634
0,0,0.02,0.021827446
0,0,0.03,0.031559978
1,1,0.08,0.07862495
0,0,0.05,0.04806764
1,1,0.15,0.15342899
1,1,0.1,0.10164584
1,1,0.05,0.050384767
1,1,0.21,0.22132204
1,1,0.1,0.093630895
1,1,0.08,0.08146031
1,1,0.11,0.11004618
0,0,0.05,0.04400465
1,1,0.11,0.10847773
1,1,0.12,0.12287189
1,1,0.08,0.07806738
1,1,0.1,0.0972563
1,1,0.31,0.30754048
1,1,0.4,0.395885
1,1,0.1,0.09605485
1,1,0.19,0.18644544
1,1,0.07,0.06765568
1,1,0.15,0.14403863
0,0,0.01,0.01581991
1,1,0.09,0.087621674
1,1,0.05,0.04825232
0,0,0.02,0.01980149
1,1,1.73,1.7339429
1,1,0.07,0.063666925
1,1,1.05,1.0532287
0,0,0.02,0.021802668
0,0,0.03,0.035002567
0,0,0.02,0.022976197
0,0,0,0.006299049
1,1,0.48,0.47905266
1,1,0.08,0.07794669
1,1,0.12,0.118209586
1,1,0.11,0.11253436
1,1,0.07,0.07233164
1,1,0.11,0.106565505
1,1,0.28,0.28193918
1,1,0.08,0.078637615
1,1,0.12,0.11858699
1,1,0.21,0.20612353
1,1,0.25,0.24954544
1,1,0.06,0.053678557
1,1,0.09,0.088469565
1,1,0.05,0.05278305
1,1,0.09,0.09414242
1,1,0.16,0.163765
1,1,1.27,1.2730387
1,1,0.04,0.033110775
0,0,0.01,0.014093183
1,1,0.08,0.07409231
1,1,0.43,0.4329176
1,1,0.08,0.0802847
1,1,0.07,0.070567295
1,1,1.91,1.9123533
1,1,0.07,0.06790282
0,0,0.02,0.025559297
1,1,0.17,0.16770433
0,0,0.01,0.008290064
1,1,0.4,0.39723182
1,1,1,1.0043821
0,0,0.03,0.028027933
1,1,0.13,0.12603669
1,1,0.08,0.0762726
1,1,0.06,0.063536204
0,0,0.04,0.038560838
1,1,0.09,0.09175023
1,1,0.04,0.0386018
1,1,0.06,0.050627097
1,1,0.84,0.84412175
1,1,0.17,0.16641718
1,1,0.21,0.20881888
0,0,0.05,0.04800895
1,1,0.11,0.10763629
1,1,0.07,0.06314902
1,1,0.08,0.0764325
1,1,0.08,0.0840938
0,0,0.01,0.014673401
0,0,0,0.005865499
1,1,0.15,0.1522127
1,1,0.1,0.095270775
1,1,0.46,0.45903748
0,0,0.05,0.051039733
0,0,0.01,0.016886976
1,1,0.08,0.07639633
1,1,0.11,0.10539822
1,1,0.24,0.2358468
1,1,0.21,0.20945492
1,1,0.65,0.6403317
0,0,0.04,0.035166755
0,0,0.04,0.039460234
1,1,0.13,0.13544104
0,0,0.03,0.02700618
1,1,0.14,0.14348431
1,1,0.13,0.1278841
0,0,0.04,0.045332886
0,0,0.02,0.023099242
0,0,0.04,0.04048973
0,0,0.04,0.038302552
1,1,0.54,0.5355807
0,0,0.02,0.022325989
0,0,0.05,0.048908297
0,0,0.02,0.023387026
1,1,0.14,0.1385008
0,0,0.01,0.010161623
1,1,0.11,0.10721947
0,0,0.01,0.013872657
0,0,0.02,0.023641009
1,1,0.08,0.08020287
1,1,0.05,0.052231662
0,0,0.03,0.039186448
1,1,0.1,0.09457518
1,1,0.12,0.11751574
0,0,0.04,0.041425455
1,1,0.12,0.119399935
0,0,0.02,0.021719122
1,1,1.1,1.0917009
0,0,0.02,0.029591765
1,1,0.61,0.6098192
0,0,0.03,0.030619582
1,1,0.09,0.08646341
1,1,0.48,0.47602057
0,0,0,0.010964006
1,1,0.12,0.1159558
0,0,0.02,0.020836465
0,0,0.04,0.03882943
1,1,0.09,0.086162865
1,1,0.24,0.23905866
1,1,0.68,0.6868495
1,1,0.51,0.5114489
1,1,0.05,0.056430638
1,1,0.35,0.35282457
1,1,0.2,0.19559674
1,1,0.53,0.5313064
1,1,0.09,0.08943471
1,1,0.21,0.20640732
0,0,0.05,0.04642182
1,1,0.07,0.06752257
1,1,0.22,0.2194198
1,1,0.43,0.4270239
1,1,0.1,0.09740491
1,1,0.12,0.1207076
1,1,0.2,0.19741659
0,0,0.03,0.026535682
1,1,0.13,0.13019949
1,1,0.11,0.10721825
1,1,0.18,0.18053536
1,1,0.06,0.05785951
0,0,0.01,0.0124893
1,1,0.1,0.10376145
0,0,0.02,0.0244665
1,1,0.28,0.2819787
0,0,0.04,0.043416303
1,1,0.07,0.06311499
1,1,0.11,0.10812369
0,0,0.04,0.03627941
1,1,0.07,0.06713714
0,0,0.04,0.040343426
0,0,0.03,0.025104681
1,1,0.1,0.09951873
1,1,0.43,0.43114763
1,1,0.08,0.082683705
0,0,0.02,0.025517117
1,1,0.11,0.1044205
1,1,0.13,0.12868412
0,0,0,0.009466201
1,1,0.08,0.07661526
0,0,0.04,0.037809223
1,1,0.06,0.074813664
0,0,0.02,0.023976885
1,1,0.24,0.23985724
1,1,0.06,0.057660326
1,1,0.34,0.33879805
1,1,0.79,0.7919491
1,1,0.06,0.05844178
0,0,0.03,0.028642457
1,1,0.21,0.21102186
1,1,0.07,0.06730655
1,1,0.22,0.21805547
1,1,0.44,0.43859458
0,0,0.05,0.044860948
1,1,0.26,0.26318413
1,1,0.53,0.5301663
1,1,0.06,0.058690913
1,1,0.17,0.1780768
1,1,0.12,0.115449294
1,1,0.24,0.23677482
1,1,0.37,0.36819923
1,1,0.15,0.15166017
1,1,0.06,0.059720248
0,0,0,0.02553412
1,1,0.11,0.10671742
1,1,0.42,0.42189926
1,1,0.07,0.06718543
1,1,0.15,0.14957798
1,1,0.11,0.10884999
0,0,0.02,0.020958465
1,1,0.11,0.109299675
0,0,0.01,0.010902807
1,1,0.13,0.12442061
1,1,0.33,0.3210038
0,0,0.05,0.04704292
1,1,0.45,0.44594228
1,1,0.1,0.101349235
1,1,0.23,0.22910956
1,1,0.05,0.053631216
1,1,0.87,0.8707274
1,1,0.27,0.26989833
1,1,0.09,0.08958557
1,1,0.08,0.076208025
1,1,0.15,0.1461286
1,1,0.1,0.09379473
0,0,0,0.008160494
1,1,0.07,0.06939519
1,1,0.29,0.28807062
0,0,0.04,0.047773864
0,0,0.01,0.005648188
1,1,0.16,0.15932623
0,0,0.04,0.041599583
1,1,0.08,0.0920143
1,1,0.14,0.1366732
1,1,0.18,0.17825954
1,1,0.27,0.26803845
0,0,0,0.005815052
1,1,0.2,0.19637121
1,1,0.1,0.097831994
1,1,0.28,0.2829212
1,1,0.08,0.07535289
1,1,0.21,0.20736928
0,0,0.05,0.05031755
0,0,0.04,0.037168935
1,1,0.15,0.15110423
0,0,0.04,0.03810168
1,1,0.23,0.22497754
1,1,0.81,0.81356937
0,0,0.05,0.05161631
1,1,0.14,0.14086074
1,1,0.35,0.34840357
1,1,0.09,0.081571
1,1,0.19,0.1857795
1,1,0.12,0.11688124
1,1,0.16,0.15907156
1,1,0.52,0.5203578
1,1,0.27,0.27138138
1,1,0.12,0.11565556
0,0,0.05,0.04882205
1,1,0.6,0.60570186
1,1,0.17,0.16668358
1,1,0.08,0.077800974
1,1,0.11,0.11062364
1,1,0.2,0.19963385
0,0,0.01,0.015692726
1,1,0.07,0.068090305
0,0,0.01,0.009084508
0,0,0,0.004379347
1,1,0.21,0.2084542
1,1,0.14,0.1403916
1,1,0.1,0.10858671
1,1,0.08,0.0734842
1,1,0.16,0.15722631
1,1,0.12,0.116142735
1,1,0.13,0.12904064
0,0,0.04,0.039138846
0,0,0.05,0.048881643
1,1,0.2,0.20462255
1,1,0.36,0.3560027
1,1,0.14,0.13878866
1,1,0.12,0.12068729
1,1,0.11,0.114449754
0,0,0.02,0.021285105
1,1,0.12,0.12209305
1,1,0.08,0.080688074
1,1,0.25,0.24697928
1,1,0.08,0.07739948
1,1,0.09,0.08868058
1,1,0.09,0.08874042
0,0,0.04,0.033733647
1,1,0.06,0.056218
1,1,0.25,0.2545427
0,0,0.03,0.028516138
1,1,0.09,0.08850302
1,1,0.22,0.21910574
1,1,0.3,0.3002733
1,1,0.28,0.2850993
0,0,0.05,0.05056166
1,1,1.12,1.1196026
1,1,0.17,0.17000325
1,1,0.15,0.15227763
1,1,0.11,0.11308209
1,1,0.31,0.30840176
1,1,0.07,0.06806938
1,1,0.15,0.15253256
1,1,0.1,0.08682184
0,0,0.03,0.030864209
1,1,0.14,0.14597021
1,1,0.23,0.22805534
0,0,0.02,0.026561648
0,0,0.01,0.015631374
1,1,0.27,0.2737081
1,1,0.15,0.14428288
0,0,0.01,0.013410583
1,1,0.1,0.09623353
1,1,0.21,0.20791323
1,1,0.13,0.12371154
0,0,0.01,0.010423005
1,1,0.1,0.09297867
1,1,0.11,0.11073999
1,1,0.09,0.08622271
1,1,0.14,0.13640966
0,0,0.01,0.016045794
1,1,0.08,0.07427265
1,1,1.58,1.578014
1,1,0.09,0.08672421
0,0,0.02,0.02153706
0,0,0.05,0.04918556
